is:open label:{{param}},S-waiting-on-author,S-waiting-on-review,S-waiting-on-team,S-blocked,S-waiting-on-bors
2023-08-22,10,75,0,2,0
2023-08-21,10,73,0,2,0
2023-08-20,10,70,0,2,0
2023-08-19,10,71,0,2,0
2023-08-18,10,72,0,2,0
2023-08-17,10,73,0,2,0
2023-08-16,10,75,0,2,0
2023-08-15,10,75,0,2,0
2023-08-14,10,74,0,2,0
2023-08-13,10,75,0,2,0
2023-08-12,10,74,0,2,0
2023-08-11,10,75,0,2,0
2023-08-10,10,72,0,2,0
2023-08-09,10,72,0,2,0
2023-08-08,10,73,0,2,0
2023-08-07,10,75,0,2,0
2023-08-06,10,76,0,2,0
2023-08-05,10,74,0,2,0
2023-08-04,10,74,0,2,0
2023-08-03,10,73,0,3,0
2023-08-02,10,74,0,3,0
2023-08-01,10,73,0,3,0
2023-07-31,10,71,0,3,0
2023-07-30,10,72,0,3,0
2023-07-28,10,70,0,2,0
2023-07-27,10,69,0,2,0
2023-07-26,10,73,0,2,0
2023-07-25,10,72,0,2,0
2023-07-24,9,73,0,2,0
2023-07-23,9,77,0,2,0
2023-07-22,9,80,0,2,0
2023-07-21,10,78,0,2,0
2023-07-20,10,80,0,2,0
2023-07-19,10,82,0,2,0
2023-07-18,9,84,0,2,0
2023-07-17,9,85,0,2,0
2023-07-16,9,84,0,2,0
2023-07-15,9,83,0,2,0
2023-07-14,9,83,0,2,0
2023-07-13,9,86,0,2,0
2023-07-12,9,86,0,2,0
2023-07-11,9,84,0,2,0
2023-07-10,9,85,0,2,0
2023-07-09,9,86,0,2,0
2023-07-08,9,88,0,2,0
2023-07-07,9,89,0,2,0
2023-07-06,9,87,0,2,0
2023-07-05,8,86,0,2,0
2023-07-04,8,83,0,2,0
2023-07-03,8,78,0,2,0
2023-07-02,8,78,0,2,0
2023-07-01,8,78,0,2,0
2023-06-30,8,76,0,2,0
2023-06-29,8,76,0,2,0
2023-06-28,8,80,0,2,0
2023-06-27,9,80,0,2,0
2023-06-26,9,79,0,2,0
2023-06-25,9,78,0,2,0
2023-06-24,9,76,0,2,0
2023-06-23,9,72,0,2,0
2023-06-22,9,70,0,2,0
2023-06-21,9,73,0,2,0
2023-06-20,10,72,0,2,0
2023-06-19,10,72,0,2,0
2023-06-18,10,68,0,2,0
2023-06-17,10,64,0,2,0
2023-06-16,12,63,0,2,0
2023-06-15,7,70,0,2,0
2023-06-14,7,68,0,2,0
2023-06-13,7,67,0,2,0
2023-06-12,7,73,0,2,0
2023-06-11,7,69,0,2,0
2023-06-10,7,72,0,2,0
2023-06-09,7,68,0,2,0
2023-06-08,7,69,0,2,0
2023-06-07,8,68,0,2,0
2023-06-06,8,67,0,2,0
2023-06-05,8,69,0,2,0
2023-06-04,8,68,0,2,0
2023-06-03,8,71,0,2,0
2023-06-02,8,71,0,2,0
2023-06-01,8,62,0,2,0
2023-05-31,8,63,0,2,0
2023-05-30,8,62,0,2,0
2023-05-29,8,61,0,2,0
2023-05-28,8,60,0,2,0
2023-05-27,8,62,0,2,0
2023-05-26,8,61,0,2,0
2023-05-25,8,58,0,2,0
2023-05-24,8,58,0,2,0
2023-05-23,8,59,0,2,0
2023-05-22,8,57,0,2,0
2023-05-21,8,55,0,2,0
2023-05-20,8,58,0,2,0
2023-05-19,8,60,0,2,0
2023-05-18,8,69,0,2,0
2023-05-17,8,67,0,2,0
2023-05-16,9,67,0,2,0
2023-05-15,9,61,0,2,0
2023-05-14,9,59,0,2,0
2023-05-13,9,59,0,2,0
2023-05-12,9,61,0,2,0
2023-05-11,9,60,0,2,0
2023-05-10,9,59,0,2,0
2023-05-09,9,60,0,2,0
2023-05-08,9,66,0,2,0
2023-05-07,9,64,0,2,0
2023-05-06,9,62,0,2,0
2023-05-05,9,60,0,2,0
2023-05-04,9,59,0,2,0
2023-05-03,9,59,0,2,0
2023-05-02,7,60,0,2,0
2023-05-01,7,59,0,2,0
2023-04-30,7,58,0,2,0
2023-04-29,7,57,0,2,0
2023-04-28,7,60,0,2,0
2023-04-27,7,58,0,2,0
2023-04-26,7,58,0,2,0
2023-04-25,7,59,0,2,0
2023-04-24,7,62,0,2,0
2023-04-23,7,67,0,2,0
2023-04-22,7,63,0,2,0
2023-04-21,7,59,0,2,0
2023-04-20,7,55,0,2,0
2023-04-19,7,55,0,2,0
2023-04-18,7,54,0,2,0
2023-04-17,7,52,0,2,0
2023-04-16,7,49,0,2,0
2023-04-15,7,48,0,2,0
2023-04-14,7,49,0,2,0
2023-04-13,7,49,0,2,0
2023-04-12,7,51,0,2,0
2023-04-11,7,53,0,2,0
2023-04-10,7,49,0,2,0
2023-04-09,7,47,0,2,0
2023-04-08,7,48,0,2,0
2023-04-07,8,49,0,2,0
2023-04-06,8,48,0,2,0
2023-04-05,7,48,0,2,0
2023-04-04,7,47,0,2,0
2023-04-03,7,53,0,2,0
2023-04-02,7,53,0,2,0
2023-04-01,7,52,0,2,0
2023-03-31,7,53,0,2,0
2023-03-30,7,50,0,2,0
2023-03-29,7,49,0,2,0
2023-03-28,7,50,0,2,0
2023-03-27,7,52,0,2,0
2023-03-26,7,49,0,2,0
2023-03-25,7,51,0,2,0
2023-03-24,7,50,0,2,0
2023-03-23,7,50,0,2,0
2023-03-22,7,49,0,2,0
2023-03-21,7,51,0,2,0
2023-03-20,7,51,0,2,0
2023-03-19,7,51,0,2,0
2023-03-18,7,51,0,2,0
2023-03-17,7,50,0,2,0
2023-03-16,7,52,0,2,0
2023-03-15,6,53,0,2,0
2023-03-14,6,53,0,2,0
2023-03-13,6,52,0,2,0
2023-03-12,6,50,0,2,0
2023-03-11,6,49,0,2,0
2023-03-10,6,49,0,2,0
2023-03-09,6,51,0,2,0
2023-03-08,6,52,0,2,0
2023-03-07,6,53,0,2,0
2023-03-06,6,53,0,2,0
2023-03-05,6,51,0,2,0
2023-03-04,6,52,0,2,0
2023-03-03,6,49,0,2,0
2023-03-02,7,48,0,2,0
2023-03-01,7,47,0,2,0
2023-02-28,7,48,0,2,0
2023-02-27,7,45,0,2,0
2023-02-26,7,45,0,2,0
2023-02-25,7,42,0,2,0
2023-02-24,7,43,0,2,0
2023-02-23,7,45,0,2,0
2023-02-22,7,43,0,2,0
2023-02-21,7,44,0,2,0
2023-02-20,7,44,0,2,0
2023-02-19,7,43,0,2,0
2023-02-18,7,43,0,2,0
2023-02-17,7,43,0,2,0
2023-02-16,6,42,0,2,0
2023-02-15,6,47,0,2,0
2023-02-14,6,49,0,2,0
2023-02-13,6,49,0,2,0
2023-02-12,6,44,0,2,0
2023-02-11,6,43,0,2,0
2023-02-10,6,40,0,2,0
2023-02-09,7,37,0,2,0
2023-02-08,7,39,0,2,0
2023-02-07,7,39,0,2,0
2023-02-06,7,37,0,2,0
2023-02-05,7,37,0,2,0
2023-02-04,7,34,0,2,0
2023-02-03,6,35,0,2,0
