is:open label:{{param}},S-waiting-on-author,S-waiting-on-review,S-waiting-on-team,S-waiting-on-crater,S-waiting-on-bikeshed,S-blocked,S-waiting-on-bors,S-inactive
2020-01-27,64,80,9,3,0,20,2,0
2020-01-26,55,89,10,4,0,20,9,0
2020-01-25,55,91,9,3,0,19,15,0
2020-01-24,59,91,8,1,0,18,12,0
2020-01-23,59,87,8,1,0,18,16,0
2020-01-22,60,81,8,2,0,17,14,0
2020-01-21,61,86,9,2,0,17,11,0
2020-01-20,63,83,8,1,0,17,6,0
2020-01-19,61,87,8,0,0,14,7,0
2020-01-18,43,104,7,0,1,14,19,0
2020-01-17,46,106,7,0,1,14,18,0
2020-01-16,43,104,8,1,1,14,14,0
2020-01-15,42,112,8,1,1,14,23,0
2020-01-14,40,109,7,1,1,13,22,0
2020-01-13,41,111,7,1,1,14,18,0
2020-01-12,39,111,7,1,1,14,20,0
2020-01-11,45,112,6,1,0,16,20,0
2020-01-10,48,115,6,2,0,18,20,0
2020-01-09,44,111,6,2,0,17,31,0
2020-01-08,39,127,7,1,0,16,15,0
2020-01-07,43,118,8,0,0,16,21,0
2020-01-06,47,117,7,0,0,15,10,0
2020-01-05,44,114,7,0,0,16,7,0
2020-01-04,44,112,7,0,0,14,18,0
2020-01-03,44,110,7,0,0,15,14,0
2019-12-28,43,83,8,1,0,18,25,0
2019-12-27,43,78,8,1,0,18,23,0
2019-12-26,46,79,8,1,0,18,14,0
2019-12-25,42,79,8,1,0,20,11,0
2019-12-24,43,80,8,1,0,20,11,0
2019-12-23,41,80,8,1,0,20,10,0
2019-12-22,42,78,9,0,0,24,14,0
2019-12-21,40,82,9,0,0,25,20,1
2019-12-20,36,84,9,0,0,24,31,1
2019-12-19,38,81,9,0,0,26,29,1
2019-12-18,35,78,9,0,0,26,27,1
2019-12-17,37,81,9,0,0,26,18,1
2019-12-16,36,88,10,0,0,24,18,1
2019-12-15,36,81,10,0,0,22,13,1
2019-12-14,39,79,10,0,0,21,12,1
2019-12-13,42,81,10,1,0,21,13,1
2019-12-12,40,81,11,1,0,22,15,1
2019-12-11,44,84,11,0,0,22,18,1
2019-12-10,48,88,11,0,0,21,18,1
2019-12-09,51,83,11,0,0,21,17,1
2019-12-08,51,71,11,1,0,21,21,1
2019-12-07,48,70,10,1,0,22,25,1
2019-12-06,50,70,10,2,0,22,28,1
2019-12-05,49,74,10,2,0,23,27,1
2019-12-04,49,67,10,3,0,23,21,1
2019-12-03,45,73,10,3,0,24,19,1
2019-12-02,46,78,11,1,0,24,18,1
2019-12-01,45,77,10,0,0,24,30,1
2019-11-23,55,82,7,2,0,19,17,2
2019-11-22,53,81,8,1,0,19,12,2
2019-11-21,52,86,8,1,0,20,7,2
2019-11-20,54,69,7,2,0,20,20,2
2019-11-19,47,78,8,1,0,20,20,2
2019-11-18,51,75,8,1,0,21,11,2
2019-11-17,52,78,10,1,0,22,19,2
2019-11-16,45,87,11,0,0,23,17,2
2019-11-15,41,89,11,2,0,24,20,2
2019-11-14,38,91,10,1,0,24,16,2
2019-11-13,36,88,10,1,0,25,22,2
2019-11-12,39,82,9,1,0,24,19,2
2019-11-11,34,91,10,0,0,24,6,2
2019-11-10,37,81,11,0,0,25,12,2
2019-11-09,33,85,10,0,0,24,13,2
2019-11-08,34,88,10,1,0,24,7,2
2019-11-07,33,82,10,1,0,25,28,2
2019-11-06,36,88,10,1,0,27,25,2
2019-11-04,35,83,10,1,0,28,34,2
2019-11-03,38,87,10,2,0,28,18,2
2019-11-02,39,82,10,0,0,25,20,2
2019-11-01,36,89,10,0,0,24,13,2
2019-10-31,34,83,10,0,0,24,27,2
2019-10-30,37,81,10,0,0,24,28,3
2019-10-29,41,73,10,1,0,22,16,3
2019-10-28,44,72,9,1,0,21,28,3
2019-10-27,49,71,9,2,0,23,17,3
2019-10-26,54,62,10,3,0,22,20,3
2019-10-25,45,77,13,1,0,20,23,3
2019-10-24,40,75,13,0,0,20,33,3
2019-10-23,31,72,16,0,0,26,33,3
2019-10-22,31,70,16,1,0,25,39,3
2019-10-21,38,77,17,1,0,25,16,3
2019-10-20,45,83,17,2,0,23,10,3
2019-10-19,45,76,17,2,0,23,15,3
2019-10-18,36,79,16,5,0,22,40,3
2019-10-17,35,82,15,5,0,23,23,3
2019-10-16,38,80,14,5,0,24,20,3
2019-10-15,42,76,14,5,0,24,24,3
2019-10-14,45,85,15,5,0,24,15,3
2019-10-13,45,86,14,3,0,27,15,3
2019-10-12,39,85,13,3,0,26,23,3
2019-10-11,34,88,13,3,0,25,32,3
2019-10-10,34,87,13,3,0,25,20,4
2019-10-09,30,91,13,4,0,23,11,5
2019-10-08,31,87,13,3,0,23,17,5
2019-10-07,34,80,13,3,0,24,21,5
2019-10-06,41,95,13,2,0,25,9,5
2019-10-05,38,87,11,2,0,26,23,5
2019-10-04,43,79,11,3,0,25,15,5
2019-10-03,44,70,11,3,0,24,19,5
2019-10-02,45,69,12,4,0,24,12,6
2019-10-01,49,61,12,4,0,24,20,6
2019-09-30,42,69,13,4,0,24,24,6
2019-09-29,40,78,16,4,0,23,6,6
2019-09-28,37,79,16,5,0,25,23,6
2019-09-27,40,79,15,4,0,24,25,6
2019-09-26,36,80,15,4,0,24,22,6
2019-09-25,34,80,16,4,0,23,12,6
2019-09-24,33,76,14,4,0,25,28,6
2019-09-23,30,75,15,5,0,25,17,6
2019-09-22,36,73,13,5,0,24,14,6
2019-09-21,36,72,13,4,0,24,20,6
2019-09-20,32,77,13,4,0,24,17,6
2019-09-19,36,70,13,4,0,24,19,6
2019-09-18,37,72,14,2,0,23,9,6
2019-09-17,38,72,14,3,0,22,17,7
2019-09-16,41,75,14,3,0,22,11,7
2019-09-15,42,83,14,3,0,24,6,8
2019-09-14,43,83,14,3,0,24,10,8
2019-09-13,40,87,14,3,0,24,16,8
2019-09-12,38,82,14,4,0,24,10,8
2019-09-11,37,78,14,6,0,23,9,8
2019-09-10,36,78,14,5,0,23,11,8
2019-09-09,36,80,14,5,0,23,10,8
2019-09-08,39,81,13,4,0,23,6,8
2019-09-07,43,73,12,4,0,23,10,8
2019-09-06,36,75,12,4,0,22,21,8
2019-09-05,32,79,12,4,0,21,24,8
2019-09-04,30,84,12,4,0,21,35,8
2019-09-03,35,84,12,5,0,23,18,8
2019-09-02,34,85,12,5,0,22,13,8
2019-09-01,31,86,12,5,0,22,10,8
2019-08-31,31,78,11,5,0,22,8,8
2019-08-30,31,70,11,6,0,22,13,8
2019-08-29,31,72,10,6,0,21,7,9
2019-08-28,31,71,10,6,0,22,23,10
2019-08-27,31,72,10,7,0,22,15,10
2019-08-26,32,71,10,7,0,21,14,10
