is:open updated:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2019-02-25,50,53,13,14,14,2
2019-02-24,46,50,17,22,20,2
2019-02-23,63,34,17,22,20,2
2019-02-22,55,51,27,30,22,2
2019-02-21,38,47,36,32,17,2
2019-02-20,50,37,40,26,15,2
2019-02-19,44,50,45,27,12,2
2019-02-18,41,62,40,21,10,1
2019-02-17,39,59,36,28,10,1
2019-02-16,34,81,28,25,10,1
2019-02-15,52,57,26,23,11,1
2019-02-14,53,60,21,15,11,1
2019-02-13,66,50,32,14,11,1
2019-02-12,65,53,38,15,7,2
2019-02-11,80,43,42,12,6,3
2019-02-10,54,75,30,22,14,3
2019-02-09,52,67,27,25,13,3
2019-02-08,72,65,25,27,10,3
2019-02-07,76,51,21,25,9,2
2019-02-06,75,56,22,34,12,3
2019-02-05,55,48,33,25,11,3
2019-02-04,75,43,33,21,10,3
2019-02-03,56,39,35,26,10,3
2019-02-02,29,43,36,24,9,3
2019-02-01,34,45,35,12,8,3
2019-01-31,38,45,26,12,6,3
2019-01-30,42,52,25,14,6,3
2019-01-29,51,32,29,11,3,3
2019-01-28,48,39,23,11,14,3
2019-01-27,35,49,31,16,13,3
2019-01-26,29,46,35,17,15,4
2019-01-25,54,53,15,17,14,3
2019-01-24,42,62,23,21,12,4
2019-01-23,42,64,28,24,9,4
2019-01-22,65,34,34,15,8,4
2019-01-21,59,35,35,32,6,4
2019-01-20,30,48,36,35,15,7
2019-01-19,33,48,37,34,17,4
2019-01-18,57,77,34,28,17,4
2019-01-17,49,80,29,30,14,6
2019-01-16,46,66,37,28,14,5
2019-01-08,44,53,34,23,32,9
2019-01-07,56,44,30,30,26,10
2019-01-06,36,57,22,35,36,12
2019-01-05,26,82,18,33,41,9
2019-01-04,42,69,20,33,38,9
2019-01-03,57,46,22,40,35,6
2019-01-02,50,29,31,37,37,4
2019-01-01,26,46,36,32,41,4
2018-12-31,25,54,39,27,39,2
2018-12-30,33,46,43,22,40,1
2018-12-29,36,53,34,25,40,1
2018-12-28,30,54,36,24,38,1
2018-12-27,35,63,27,20,36,0
2018-12-26,40,53,29,27,32,0
2018-12-25,27,58,32,30,29,0
2018-12-24,52,41,27,32,21,1
2018-12-23,48,59,24,37,27,1
2018-12-22,41,80,28,40,25,1
2018-12-21,52,70,28,41,20,1
2018-12-20,49,66,20,41,16,1
2018-12-19,59,48,29,35,14,1
2018-12-18,44,62,32,36,8,1
2018-12-17,56,43,42,27,5,1
2018-12-16,35,63,48,33,5,2
2018-12-15,42,60,53,28,4,1
2018-12-14,42,78,42,23,2,1
2018-12-13,39,96,34,18,2,1
2018-12-12,54,75,33,18,2,1
2018-12-11,61,64,32,10,1,1
2018-12-10,69,55,30,6,1,1
